epoch,all_agents,health,sick,death,quarantine,infected,recovered,all_health,all_sick,all_death,all_quarantine,all_infected,all_recovered
98,1181,7,3,9,0,0,3,806,7810,8819,41,8439,908
99,1176,8,4,5,0,2,0,814,7814,8824,41,8441,908
100,1173,6,2,3,0,1,0,820,7816,8827,41,8442,908
101,1168,4,2,5,0,1,0,824,7818,8832,41,8443,908
102,1164,2,3,4,0,2,1,826,7821,8836,41,8445,909
103,1163,3,3,1,0,0,0,829,7824,8837,41,8445,909
104,1161,8,5,2,0,1,0,837,7829,8839,41,8446,909
105,1156,4,2,5,0,1,0,841,7831,8844,41,8447,909
106,1153,5,0,3,0,2,2,846,7831,8847,41,8449,911
107,1147,4,3,6,0,0,0,850,7834,8853,41,8449,911
108,1146,3,1,1,0,1,1,853,7835,8854,41,8450,912
109,1145,3,0,1,0,0,0,856,7835,8855,41,8450,912
110,1137,4,3,8,0,0,1,860,7838,8863,41,8450,913
111,1135,1,1,2,0,2,1,861,7839,8865,41,8452,914
112,1134,2,1,1,0,0,1,863,7840,8866,41,8452,915
113,1130,3,1,4,0,2,0,866,7841,8870,41,8454,915
114,1128,1,1,2,0,0,0,867,7842,8872,41,8454,915
115,1127,1,1,1,0,0,0,868,7843,8873,41,8454,915
116,1127,5,2,0,0,0,1,873,7845,8873,41,8454,916
117,1127,2,1,0,0,0,0,875,7846,8873,41,8454,916
118,1126,5,0,1,0,0,1,880,7846,8874,41,8454,917
119,1123,1,2,3,0,0,0,881,7848,8877,41,8454,917
120,1123,2,0,0,0,2,0,883,7848,8877,41,8456,917
121,1122,1,0,1,0,0,0,884,7848,8878,41,8456,917
122,1122,0,0,0,0,0,0,884,7848,8878,41,8456,917
123,1121,2,1,1,0,0,0,886,7849,8879,41,8456,917
124,1121,1,0,0,0,0,1,887,7849,8879,41,8456,918
125,1121,0,0,0,0,1,0,887,7849,8879,41,8457,918
126,1118,0,1,3,0,0,0,887,7850,8882,41,8457,918
127,1117,1,0,1,0,0,0,888,7850,8883,41,8457,918
128,1115,0,0,2,0,1,0,888,7850,8885,41,8458,918
129,1115,0,0,0,0,0,0,888,7850,8885,41,8458,918
130,1114,1,0,1,0,0,1,889,7850,8886,41,8458,919
131,1114,1,0,0,0,0,0,890,7850,8886,41,8458,919
132,1112,0,2,2,0,0,0,890,7852,8888,41,8458,919
133,1111,1,1,1,0,0,0,891,7853,8889,41,8458,919
134,1110,0,0,1,0,0,0,891,7853,8890,41,8458,919
135,1110,1,0,0,0,0,0,892,7853,8890,41,8458,919
136,1110,1,0,0,0,0,0,893,7853,8890,41,8458,919
137,1109,0,0,1,0,0,0,893,7853,8891,41,8458,919
138,1108,1,0,1,0,0,1,894,7853,8892,41,8458,920
139,1107,0,0,1,0,0,0,894,7853,8893,41,8458,920
140,1107,0,0,0,0,0,1,894,7853,8893,41,8458,921
141,1107,1,0,0,0,0,0,895,7853,8893,41,8458,921
142,1107,1,0,0,0,0,0,896,7853,8893,41,8458,921
143,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
144,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
145,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
146,1106,0,0,1,0,0,0,896,7853,8894,41,8458,921
147,1106,0,0,0,0,0,0,896,7853,8894,41,8458,921
148,1106,0,0,0,0,0,0,896,7853,8894,41,8458,921
149,1106,1,0,0,0,0,0,897,7853,8894,41,8458,921
150,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
151,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
152,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
153,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
154,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
155,1106,1,0,0,0,0,0,898,7853,8894,41,8458,921
156,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
157,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
158,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
159,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
160,1105,0,0,1,0,0,0,898,7853,8895,41,8458,921
161,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
162,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
163,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
164,1105,2,0,0,0,0,0,900,7853,8895,41,8458,921
165,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
166,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
167,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
168,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
169,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
170,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
171,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
172,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
173,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
174,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
175,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
176,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
177,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
178,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
179,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
180,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
181,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
182,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
183,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
184,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
185,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
186,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
187,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
188,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
189,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
190,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
191,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
192,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
193,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
194,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
195,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
196,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
197,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
198,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
199,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
200,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
201,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
202,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
203,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
204,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
205,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
206,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
207,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
208,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
209,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
210,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
211,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
212,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
213,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
214,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
215,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
216,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
217,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
218,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
219,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
220,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
221,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
222,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
223,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
224,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
225,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
226,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
227,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
228,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
229,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
230,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
