epoch,all_agents,health,sick,death,quarantine,infected,recovered,all_health,all_sick,all_death,all_quarantine,all_infected,all_recovered
0,10000,0,0,0,0,435,0,0,0,0,0,435,0
1,9843,0,0,157,0,353,0,0,0,157,0,788,0
2,9716,0,0,127,0,362,0,0,0,284,0,1150,0
3,9583,0,0,133,0,308,0,0,0,417,0,1458,0
4,9450,0,0,133,0,275,0,0,0,550,0,1733,0
5,9365,0,35,85,0,237,0,0,35,635,0,1970,0
6,9259,0,69,106,0,231,0,0,104,741,0,2201,0
7,9158,0,97,101,1,196,0,0,201,842,1,2397,0
8,9071,0,119,87,0,224,0,0,320,929,1,2621,0
9,8972,0,145,99,2,244,0,0,465,1028,3,2865,0
10,8888,0,165,84,0,254,0,0,630,1112,3,3119,0
11,8782,0,159,106,3,224,0,0,789,1218,6,3343,0
12,8698,0,206,84,3,246,0,0,995,1302,9,3589,0
13,8582,0,237,116,1,202,0,0,1232,1418,10,3791,0
14,8466,0,216,116,1,248,0,0,1448,1534,11,4039,0
15,8328,0,246,138,2,232,0,0,1694,1672,13,4271,0
16,8182,0,260,146,2,230,0,0,1954,1818,15,4501,0
17,8017,0,261,165,1,229,0,0,2215,1983,16,4730,0
18,7859,0,231,158,4,212,0,0,2446,2141,20,4942,0
19,7707,0,230,152,0,193,0,0,2676,2293,20,5135,0
20,7562,0,196,145,0,199,0,0,2872,2438,20,5334,0
21,7397,0,215,165,1,183,0,0,3087,2603,21,5517,0
22,7225,0,201,172,1,168,0,0,3288,2775,22,5685,0
23,7040,0,197,185,1,152,0,0,3485,2960,23,5837,0
24,6878,0,216,162,3,156,23,0,3701,3122,26,5993,23
25,6674,0,224,204,1,152,19,0,3925,3326,27,6145,42
26,6517,0,213,157,3,132,20,0,4138,3483,30,6277,62
27,6314,0,191,203,2,151,37,0,4329,3686,32,6428,99
28,6130,0,186,184,0,126,13,0,4515,3870,32,6554,112
29,5942,0,198,188,4,129,9,0,4713,4058,36,6683,121
30,5793,0,187,149,3,126,14,0,4900,4207,39,6809,135
31,5601,0,150,192,0,114,13,0,5050,4399,39,6923,148
32,5449,0,162,152,0,102,21,0,5212,4551,39,7025,169
33,5287,0,157,162,1,89,12,0,5369,4713,40,7114,181
34,5128,0,125,159,0,96,15,0,5494,4872,40,7210,196
35,4985,0,160,143,0,80,7,0,5654,5015,40,7290,203
36,4814,0,115,171,2,76,4,0,5769,5186,42,7366,207
37,4655,0,148,159,1,93,6,0,5917,5345,43,7459,213
38,4486,0,130,169,0,70,14,0,6047,5514,43,7529,227
