epoch,all_agents,health,sick,death,quarantine,infected,recovered,all_health,all_sick,all_death,all_quarantine,all_infected,all_recovered
39,4310,0,138,176,0,72,9,0,6185,5690,43,7601,236
40,4174,0,104,136,1,51,14,0,6289,5826,44,7652,250
41,4017,0,107,157,0,63,18,0,6396,5983,44,7715,268
42,3872,0,92,145,1,62,19,0,6488,6128,45,7777,287
43,3723,0,90,149,0,53,23,0,6578,6277,45,7830,310
44,3624,0,85,99,1,38,19,0,6663,6376,46,7868,329
45,3467,0,86,157,0,41,20,0,6749,6533,46,7909,349
46,3335,0,63,132,0,32,23,0,6812,6665,46,7941,372
47,3202,0,75,133,0,31,24,0,6887,6798,46,7972,396
48,3081,7,85,121,0,31,15,7,6972,6919,46,8003,411
49,2976,11,53,105,0,34,23,18,7025,7024,46,8037,434
50,2888,21,55,88,0,31,22,39,7080,7112,46,8068,456
51,2782,23,54,106,2,36,19,62,7134,7218,48,8104,475
52,2708,23,52,74,1,27,19,85,7186,7292,49,8131,494
53,2619,19,47,89,0,30,25,104,7233,7381,49,8161,519
54,2515,6,49,104,0,31,21,110,7282,7485,49,8192,540
55,2422,9,33,93,1,19,9,119,7315,7578,50,8211,549
56,2347,25,39,75,0,22,11,144,7354,7653,50,8233,560
57,2290,14,42,57,0,23,24,158,7396,7710,50,8256,584
58,2226,10,28,64,0,23,22,168,7424,7774,50,8279,606
59,2158,12,31,68,0,20,8,180,7455,7842,50,8299,614
60,2103,6,37,55,0,20,18,186,7492,7897,50,8319,632
61,2043,7,30,60,0,18,11,193,7522,7957,50,8337,643
62,1988,10,25,55,0,9,9,203,7547,8012,50,8346,652
63,1944,5,30,44,0,10,14,208,7577,8056,50,8356,666
64,1890,10,24,54,0,14,14,218,7601,8110,50,8370,680
65,1847,17,18,43,0,8,12,235,7619,8153,50,8378,692
66,1816,16,19,31,0,14,12,251,7638,8184,50,8392,704
67,1778,22,14,38,0,10,11,273,7652,8222,50,8402,715
68,1738,19,14,40,0,17,18,292,7666,8262,50,8419,733
69,1706,21,14,32,0,11,6,313,7680,8294,50,8430,739
70,1674,19,12,32,0,10,10,332,7692,8326,50,8440,749
71,1642,26,19,32,0,13,11,358,7711,8358,50,8453,760
72,1615,15,17,27,0,8,9,373,7728,8385,50,8461,769
73,1586,23,21,29,0,9,4,396,7749,8414,50,8470,773
74,1557,19,16,29,0,12,4,415,7765,8443,50,8482,777
75,1532,17,10,25,0,7,6,432,7775,8468,50,8489,783
76,1509,23,15,23,0,11,5,455,7790,8491,50,8500,788
77,1485,17,15,24,0,4,9,472,7805,8515,50,8504,797
78,1470,25,8,15,0,6,9,497,7813,8530,50,8510,806
79,1447,17,13,23,0,7,4,514,7826,8553,50,8517,810
80,1426,15,9,21,0,4,4,529,7835,8574,50,8521,814
81,1410,10,9,16,0,8,5,539,7844,8590,50,8529,819
82,1394,20,5,16,0,5,4,559,7849,8606,50,8534,823
83,1378,20,9,16,0,4,5,579,7858,8622,50,8538,828
84,1364,12,12,14,0,8,4,591,7870,8636,50,8546,832
85,1349,15,12,15,0,2,5,606,7882,8651,50,8548,837
86,1333,16,7,16,0,5,3,622,7889,8667,50,8553,840
87,1326,9,4,7,0,6,2,631,7893,8674,50,8559,842
88,1315,11,6,11,0,3,5,642,7899,8685,50,8562,847
89,1306,15,5,9,0,7,0,657,7904,8694,50,8569,847
90,1294,14,10,12,0,2,4,671,7914,8706,50,8571,851
91,1284,8,3,10,0,5,0,679,7917,8716,50,8576,851
92,1271,16,5,13,0,2,3,695,7922,8729,50,8578,854
93,1264,8,4,7,0,3,1,703,7926,8736,50,8581,855
94,1251,13,3,13,0,5,2,716,7929,8749,50,8586,857
95,1243,11,4,8,0,1,1,727,7933,8757,50,8587,858
96,1235,2,5,8,0,3,2,729,7938,8765,50,8590,860
97,1227,14,6,8,0,0,2,743,7944,8773,50,8590,862
98,1223,6,5,4,0,3,1,749,7949,8777,50,8593,863
99,1219,7,2,4,0,0,1,756,7951,8781,50,8593,864
100,1210,4,2,9,0,0,0,760,7953,8790,50,8593,864
101,1201,5,4,9,0,2,1,765,7957,8799,50,8595,865
102,1198,9,2,3,0,0,0,774,7959,8802,50,8595,865
103,1191,5,3,7,0,2,0,779,7962,8809,50,8597,865
104,1186,6,3,5,0,1,1,785,7965,8814,50,8598,866
105,1182,3,2,4,0,1,1,788,7967,8818,50,8599,867
106,1181,4,5,1,0,1,1,792,7972,8819,50,8600,868
107,1176,5,2,5,0,4,0,797,7974,8824,50,8604,868
108,1172,3,0,4,0,0,0,800,7974,8828,50,8604,868
109,1168,6,1,4,0,1,0,806,7975,8832,50,8605,868
110,1164,8,1,4,0,4,1,814,7976,8836,50,8609,869
111,1162,1,2,2,0,2,1,815,7978,8838,50,8611,870
112,1160,0,0,2,0,1,3,815,7978,8840,50,8612,873
113,1157,2,1,3,0,0,0,817,7979,8843,50,8612,873
114,1156,5,0,1,0,0,2,822,7979,8844,50,8612,875
115,1153,3,1,3,0,1,1,825,7980,8847,50,8613,876
116,1150,1,4,3,0,2,1,826,7984,8850,50,8615,877
117,1149,2,1,1,0,1,0,828,7985,8851,50,8616,877
118,1148,3,1,1,0,0,1,831,7986,8852,50,8616,878
119,1142,0,3,6,0,1,0,831,7989,8858,50,8617,878
120,1142,1,0,0,0,0,0,832,7989,8858,50,8617,878
121,1139,2,2,3,0,1,0,834,7991,8861,50,8618,878
122,1139,1,2,0,0,0,0,835,7993,8861,50,8618,878
123,1135,3,1,4,0,2,0,838,7994,8865,50,8620,878
124,1132,0,1,3,0,0,0,838,7995,8868,50,8620,878
125,1132,0,0,0,0,0,0,838,7995,8868,50,8620,878
126,1131,0,2,1,0,0,0,838,7997,8869,50,8620,878
127,1127,1,0,4,0,0,0,839,7997,8873,50,8620,878
128,1126,1,1,1,0,1,0,840,7998,8874,50,8621,878
129,1124,0,1,2,0,1,0,840,7999,8876,50,8622,878
130,1123,0,0,1,0,0,0,840,7999,8877,50,8622,878
131,1122,2,2,1,0,0,0,842,8001,8878,50,8622,878
132,1121,0,1,1,0,0,0,842,8002,8879,50,8622,878
133,1121,0,1,0,0,1,1,842,8003,8879,50,8623,879
134,1120,0,1,1,0,0,0,842,8004,8880,50,8623,879
135,1120,0,0,0,0,0,0,842,8004,8880,50,8623,879
136,1119,3,0,1,0,0,1,845,8004,8881,50,8623,880
137,1118,2,0,1,0,0,0,847,8004,8882,50,8623,880
138,1118,1,0,0,0,0,0,848,8004,8882,50,8623,880
139,1118,0,0,0,0,0,0,848,8004,8882,50,8623,880
140,1118,2,0,0,0,0,1,850,8004,8882,50,8623,881
141,1117,1,0,1,0,0,0,851,8004,8883,50,8623,881
142,1117,1,0,0,0,0,0,852,8004,8883,50,8623,881
143,1114,0,0,3,0,0,0,852,8004,8886,50,8623,881
144,1114,0,0,0,0,0,0,852,8004,8886,50,8623,881
145,1114,0,0,0,0,0,0,852,8004,8886,50,8623,881
146,1114,0,1,0,0,0,0,852,8005,8886,50,8623,881
147,1114,0,0,0,0,0,0,852,8005,8886,50,8623,881
148,1114,0,0,0,0,0,0,852,8005,8886,50,8623,881
149,1114,0,0,0,0,0,1,852,8005,8886,50,8623,882
150,1114,0,0,0,0,0,0,852,8005,8886,50,8623,882
151,1113,0,0,1,0,0,0,852,8005,8887,50,8623,882
152,1113,0,0,0,0,0,0,852,8005,8887,50,8623,882
153,1113,0,0,0,0,0,0,852,8005,8887,50,8623,882
154,1113,0,0,0,0,0,0,852,8005,8887,50,8623,882
155,1113,0,0,0,0,0,0,852,8005,8887,50,8623,882
156,1113,0,0,0,0,2,0,852,8005,8887,50,8625,882
157,1113,1,0,0,0,0,0,853,8005,8887,50,8625,882
158,1113,0,0,0,0,0,0,853,8005,8887,50,8625,882
159,1112,0,0,1,0,0,0,853,8005,8888,50,8625,882
160,1111,1,0,1,0,1,0,854,8005,8889,50,8626,882
161,1111,0,0,0,0,0,0,854,8005,8889,50,8626,882
162,1111,0,0,0,0,0,0,854,8005,8889,50,8626,882
163,1111,0,0,0,0,0,0,854,8005,8889,50,8626,882
164,1111,0,0,0,0,0,0,854,8005,8889,50,8626,882
165,1111,1,0,0,0,0,0,855,8005,8889,50,8626,882
166,1111,0,1,0,0,0,0,855,8006,8889,50,8626,882
167,1111,0,1,0,0,0,0,855,8007,8889,50,8626,882
168,1111,0,0,0,0,0,0,855,8007,8889,50,8626,882
169,1111,0,1,0,0,0,0,855,8008,8889,50,8626,882
170,1111,0,0,0,0,0,0,855,8008,8889,50,8626,882
171,1111,0,0,0,0,0,0,855,8008,8889,50,8626,882
172,1111,0,0,0,0,0,0,855,8008,8889,50,8626,882
173,1111,0,0,0,0,0,0,855,8008,8889,50,8626,882
174,1111,0,0,0,0,0,0,855,8008,8889,50,8626,882
175,1111,1,0,0,0,0,0,856,8008,8889,50,8626,882
176,1111,0,0,0,0,0,0,856,8008,8889,50,8626,882
177,1111,0,0,0,0,0,0,856,8008,8889,50,8626,882
178,1110,0,0,1,0,0,0,856,8008,8890,50,8626,882
179,1110,0,0,0,0,0,0,856,8008,8890,50,8626,882
180,1110,0,0,0,0,0,0,856,8008,8890,50,8626,882
181,1110,0,0,0,0,0,0,856,8008,8890,50,8626,882
182,1110,0,0,0,0,0,0,856,8008,8890,50,8626,882
183,1109,0,0,1,0,0,0,856,8008,8891,50,8626,882
184,1109,0,0,0,0,0,0,856,8008,8891,50,8626,882
185,1109,0,0,0,0,0,0,856,8008,8891,50,8626,882
186,1109,0,0,0,0,0,0,856,8008,8891,50,8626,882
187,1108,0,0,1,0,0,0,856,8008,8892,50,8626,882
188,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
189,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
190,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
191,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
192,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
193,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
194,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
195,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
196,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
197,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
198,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
199,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
200,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
201,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
202,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
203,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
204,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
205,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
206,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
207,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
208,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
209,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
210,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
211,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
212,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
213,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
214,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
215,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
216,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
217,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
218,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
219,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
220,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
221,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
222,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
223,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
224,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
225,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
226,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
227,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
228,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
229,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
230,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
231,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
232,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
233,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
234,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
235,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
236,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
237,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
238,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
239,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
240,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
241,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
242,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
243,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
244,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
245,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
246,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
247,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
248,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
249,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
250,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
251,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
252,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
253,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
254,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
255,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
256,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
257,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
258,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
259,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
260,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
261,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
262,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
263,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
264,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
265,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
266,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
267,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
268,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
269,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
270,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
271,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
272,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
273,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
274,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
275,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
276,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
277,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
278,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
279,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
280,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
281,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
282,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
283,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
284,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
285,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
286,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
287,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
288,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
289,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
290,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
291,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
292,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
293,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
294,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
295,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
296,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
297,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
298,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
299,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
300,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
301,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
302,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
303,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
304,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
305,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
306,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
307,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
308,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
309,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
310,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
311,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
312,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
313,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
314,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
315,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
316,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
317,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
318,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
319,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
320,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
321,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
322,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
323,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
324,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
325,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
326,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
327,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
328,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
329,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
330,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
331,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
332,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
333,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
334,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
335,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
336,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
337,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
338,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
339,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
340,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
341,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
342,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
343,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
344,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
345,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
346,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
347,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
348,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
349,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
350,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
351,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
352,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
353,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
354,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
355,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
356,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
357,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
358,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
359,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
360,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
361,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
362,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
363,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
364,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
365,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
366,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
367,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
368,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
369,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
370,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
371,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
372,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
373,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
374,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
375,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
376,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
377,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
378,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
379,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
380,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
381,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
382,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
383,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
384,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
385,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
386,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
387,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
388,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
389,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
390,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
391,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
392,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
393,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
394,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
395,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
396,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
397,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
398,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
399,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
400,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
401,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
402,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
403,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
404,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
405,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
406,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
407,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
408,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
409,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
410,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
411,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
412,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
413,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
414,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
415,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
416,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
417,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
418,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
419,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
420,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
421,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
422,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
423,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
424,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
425,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
426,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
427,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
428,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
429,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
430,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
431,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
432,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
433,1108,0,0,0,0,0,0,856,8008,8892,50,8626,882
